DISTRITO,NOMBRE_DISTRITO,BARRIO,NOMBRE_BARRIO,CODIGO_TITULO,NO APLICABLE (MENOR 10 AÑOS),NO SABE LEER NI ESCRIBIR,INFERIOR A GRAD. ESCOLAR,SIN ESTUDIOS,"EPO/EGB INCOMPL.,CDO.ESCOLARIDAD",GRADUADO ESCOLAR O EQUIVALENTE,"B.ELEM.,GRAD.ESC.,EGB,ESO","FP 1 O MEDIO,OFIC.INDUSTRIAL","BACH.,FP 2,EQUIV.,SUPERIORES","FP 2 O SUPER.,MAESTRIA INDUSTRIAL","BACH. SUP.,BUP,LOGSE,COU",OTROS TITULOS MEDIOS,DIPLOMADO ESCUELAS UNIVERSITARIAS,ARQUITECTO O INGENIERO TECNICO,"LICEN.UNIV.,ARQUIT.O ING.SUPER",EST.SUPER.NO UNIVERSITARIOS,"DOCTORADO,POSTGRADO,ESPECIALIZACION",DESCONOCIDO
1,DEUSTU,101,SAN IGNACIO,99,1829,41,4,446,246,37,4641,778,26,805,1526,99,667,175,1114,41,122,39
1,DEUSTU,102,ELORRIETA,99,275,1,1,32,15,4,355,78,1,92,162,11,92,11,144,2,16,4
1,DEUSTU,103,IBARREKOLANDA,99,1090,19,3,357,198,20,3658,631,22,580,1419,96,644,177,1227,48,149,25
1,DEUSTU,104,SAN PEDRO DE DEUSTU,99,2524,34,12,474,358,49,5960,956,44,974,2964,273,1621,421,3300,188,414,82
1,DEUSTU,105,LA RIBERA,99,63,4,12,30,4,2,123,28,3,37,51,4,21,3,39,7,6,1
1,DEUSTU,106,ARANGOITI,99,592,36,3,246,136,13,1998,276,13,230,423,14,128,24,169,4,27,20
1,DEUSTU,107,DISEMINADO,99,14,36,1,3,2,13,37,6,13,3,6,14,6,2,8,4,2,3
2,URIBARRI,201,CASTAÑOS,99,707,5,10,103,52,40,1418,251,13,247,873,79,523,90,1157,68,135,8
2,URIBARRI,202,MATIKO,99,647,17,17,190,65,41,1925,307,26,314,679,62,289,64,574,27,73,7
2,URIBARRI,204,URIBARRI,99,1597,57,35,751,216,97,5409,810,61,696,1420,89,555,121,985,35,93,11
2,URIBARRI,205,ZURBARAN,99,1210,34,19,596,140,42,3892,623,31,511,1196,96,510,135,830,42,87,11
2,URIBARRI,206,ARABELLA,99,253,6,3,92,35,7,660,116,6,92,145,12,47,12,64,4,9,2
2,URIBARRI,207,DISEMINADO,99,26,6,2,27,14,6,142,20,1,18,40,7,24,6,34,2,4,10
3,OTXARKOAGA-TXURDINAGA,301,OTXARKOAGA,99,1869,220,35,1220,360,49,4631,623,23,307,592,35,122,26,172,12,9,18
3,OTXARKOAGA-TXURDINAGA,302,TXURDINAGA,99,2362,102,31,746,229,38,6153,1125,27,948,2032,138,821,184,1250,65,155,39
4,BEGOÑA,401,BEGOÑA,99,512,8,5,121,36,11,1708,297,17,247,676,77,361,93,595,49,74,4
4,BEGOÑA,402,SANTUTXU,99,3881,112,61,1387,449,119,14301,2128,98,1752,3529,264,1371,388,2009,92,198,32
4,BEGOÑA,403,BOLUETA,99,597,19,7,208,67,21,1982,319,13,226,402,24,111,23,183,11,15,3
5,IBAIONDO,501,CASCO VIEJO,99,1122,27,11,144,90,60,1785,280,58,336,1034,60,607,92,1577,134,254,9
5,IBAIONDO,502,ITURRALDE,99,839,23,15,222,73,44,1982,298,40,328,743,60,383,73,709,32,101,13
5,IBAIONDO,503,SOLOKOETXE,99,731,15,21,142,92,43,2010,323,47,327,650,72,350,85,571,43,77,18
5,IBAIONDO,504,ATXURI,99,841,30,18,226,95,46,2166,341,42,281,620,47,258,48,458,32,76,9
5,IBAIONDO,505,LA PEÑA,99,1216,59,23,239,143,54,3503,546,46,389,719,47,189,41,305,11,33,17
5,IBAIONDO,506,BILBAO LA VIEJA,99,704,48,19,214,101,54,1392,231,51,206,414,26,165,23,333,29,42,14
5,IBAIONDO,507,SAN FRANCISCO,99,871,123,62,479,219,121,2458,268,143,234,687,42,248,53,671,80,108,28
5,IBAIONDO,508,ZABALA,99,772,42,29,255,104,63,2043,251,60,239,529,40,198,42,343,19,55,20
5,IBAIONDO,509,SAN ADRIAN,99,871,22,10,249,86,21,2312,372,23,284,690,40,267,43,401,12,37,9
5,IBAIONDO,510,DISEMINADO,99,45,12,1,17,5,4,117,14,3,9,18,1,10,1,10,1,1,1
5,IBAIONDO,511,MIRIBILLA,99,2155,17,4,98,71,20,1518,394,13,607,1053,63,496,102,1020,30,113,7
6,ABANDO,601,ABANDO,99,3405,26,35,327,211,96,4885,665,83,793,3551,273,1894,402,6352,286,739,46
6,ABANDO,602,INDAUTXU,99,3721,26,29,382,199,115,5791,805,88,860,4329,380,2500,422,6835,329,821,44
7,ERREKALDE,701,AMETZOLA,99,1578,21,28,247,168,100,4045,493,97,536,1727,115,880,241,1792,82,189,46
7,ERREKALDE,702,IRALABARRI,99,1732,33,50,353,178,92,4414,606,77,615,1506,102,613,147,1215,71,122,56
7,ERREKALDE,703,ERREKALDEBERRI,99,2400,88,70,699,267,100,6946,928,85,812,1659,102,633,113,1004,30,88,131
7,ERREKALDE,704,LARRASKITU,99,384,11,7,88,39,13,1313,145,15,169,303,25,107,14,120,2,16,16
7,ERREKALDE,705,URETAMENDI,99,376,40,13,246,69,11,1339,126,14,94,147,16,38,3,62,3,4,13
7,ERREKALDE,706,ITURRIGORRI-PEÑASCAL,99,352,51,15,235,64,22,862,98,14,59,115,12,16,3,36,3,2,26
