"Title","Start","Description","lat","long"
"Battle of Grand Port",1810-08-27,"The Battle of Grand Port was a naval battle between squadrons of frigates from the French Navy and the British Royal Navy. The battle was fought during 20–27 August 1810 over possession of the harbour of Grand Port on Isle de France (now Mauritius) during the Napoleonic Wars. The British squadron of four frigates sought to blockade the port to prevent its use by the French through the capture of the fortified Île de la Passe at its entrance. This position was seized by a British landing party on 13 August, and when a French squadron under Captain Guy-Victor Duperré approached the bay nine days later the British commander, Captain Samuel Pym, decided to lure them into coastal waters where his superior numbers could be brought to bear against the French ships.Four of the five French ships managed to break past the British blockade, taking shelter in the protected anchorage, which was only accessible through a series of complicated reefs and sandbanks that were impassable without an experienced harbour pilot. When Pym ordered his frigates to attack the anchored French on 22 and 23 August, his ships became trapped in the narrow channels of the bay: two were irretrievably grounded; a third, outnumbered by the combined French squadron, was defeated; and a fourth was unable to close to within effective gun range. Although the French ships were also badly damaged, the battle was a disaster for the British: one ship was captured after suffering irreparable damage, the grounded ships were set on fire to prevent their capture by French boarding parties and the remaining vessel was seized as it left the harbour by the main French squadron from Port Napoleon under Commodore Jacques Hamelin.The British defeat was the worst the Royal Navy suffered during the entire war, and it left the Indian Ocean and its vital trade convoys exposed to attack from Hamelin's frigates. In response, the British authorities sought to reinforce the squadron on Île Bourbon under Josias Rowley by ordering all available ships to the region, but this piecemeal reinforcement resulted in a series of desperate actions as individual British ships were attacked by the more powerful and confident French squadron. It was not until December 1810 that an adequate reinforcement could be collected, with the provision of a strong battle squadron under Admiral Albemarle Bertie that rapidly invaded and subdued Isle de France.",-20.3903,57.7339
"Battle of Mohrungen",1807-01-25,"In the Battle of Mohrungen on 25 January 1807, most of a First French Empire corps under the leadership of Marshal Jean-Baptiste Bernadotte fought a strong Russian Empire advance guard led by Major General Yevgeni Ivanovich Markov. The French pushed back the main Russian force, but a cavalry raid on the French supply train caused Bernadotte to call off his attacks. After driving off the cavalry, Bernadotte withdrew and the town was occupied by the army of General Levin August, Count von Bennigsen. The fighting took place in and around Morąg in northern Poland, which in 1807 was the East Prussian town of Mohrungen. The action was part of the War of the Fourth Coalition in the Napoleonic Wars.After demolishing the army of the Kingdom of Prussia in a whirlwind campaign in October and November 1806, Napoleon's Grande Armée seized Warsaw. After two bitterly fought actions against the Russian army, the French emperor decided to place his troops into winter quarters. However, in wintry weather, the Russian commander moved north into East Prussia and then struck west at Napoleon's left flank. As one of Bennigsen's columns advanced west it encountered forces under Bernadotte. The Russian advance was nearly at an end as Napoleon gathered strength for a powerful counterstroke.",53.9167,19.9333
"Battle of Rimito Kramp",1808-07-02,"The Battle of Rimito Kramp was fought between Sweden and Russia during the Finnish War 1808-09.",60.284,21.962
"Battle of Rimito Kramp",1808-07-02,"The Battle of Rimito Kramp was fought between Sweden and Russia during the Finnish War 1808-09.",60.284,22.137
"Battle of Rimito Kramp",1808-07-02,"The Battle of Rimito Kramp was fought between Sweden and Russia during the Finnish War 1808-09.",60.412,21.962
"Battle of Rimito Kramp",1808-07-02,"The Battle of Rimito Kramp was fought between Sweden and Russia during the Finnish War 1808-09.",60.412,22.137
"Battle of Assaye",1803-09-23,"The Battle of Assaye was a major battle of the Second Anglo-Maratha War fought between the Maratha Empire and the British East India Company. It occurred on 23 September 1803 near Assaye in western India where an outnumbered Indian and British force under the command of Major General Arthur Wellesley (who later became the Duke of Wellington) defeated a combined Maratha army of Daulat Scindia and the Raja of Berar. The battle was the Duke of Wellington's first major victory and one he later described as his finest accomplishment on the battlefield.From August 1803, Wellesley's army and a separate force under the command of his subordinate Colonel James Stevenson had been pursuing the Maratha cavalry-based army which threatened to raid south into Hyderabad. After several weeks of pursuit and countermarching, Scindia reinforced the combined Maratha army with his modernized infantry and artillery as the British forces closed in on his position.Wellesley received intelligence indicating the location of the Maratha encampment on 21 September and devised a plan whereby his two armies would converge on the Maratha position three days later. Wellesley's force, however, encountered the Maratha army – which was under the command of Colonel Anthony Pohlmann, a German formerly in British service – 6 miles (9.7 km) farther south than he anticipated. Although outnumbered, Wellesley resolved to attack at once, believing that the Maratha army would soon move off. Both sides suffered heavily in the ensuing battle; Maratha artillery caused large numbers of casualties among Wellesley's troops but the vast numbers of Maratha cavalry proved largely ineffective. A combination of bayonet and cavalry charges eventually forced the Maratha army to retreat with the loss of most of their guns, but Wellesley's army was too battered and exhausted to pursue.Wellesley's victory at Assaye, preceded by the capture of Ahmednagar and followed by victories at Argaon and Gawilghur, resulted in the defeat of Scindia and Berar's armies in the Deccan. Wellesley's progress in the Deccan was matched by Lieutenant General Gerard Lake's successful campaigns in Northern India and led to the British becoming the dominant power in the heartlands of India.",20.236,75.887
"Battle of Aspern-Essling",1809-05-22,"In the Battle of Aspern-Essling (21–22 May 1809), Napoleon attempted a forced crossing of the Danube near Vienna, but the French and their allies were driven back by the Austrians under Archduke Charles. The battle was the first time Napoleon had been personally defeated in over a decade. However, Archduke Charles failed to secure a decisive victory as Napoleon was able to successfully withdraw most of his forces.",48.2131,16.5025
"Battle of Waterloo",1815-06-18,"The Battle of Waterloo was fought on Sunday, 18 June 1815, near Waterloo in present-day Belgium, then part of the United Kingdom of the Netherlands. A French army under the command of Napoleon was defeated by the armies of the Seventh Coalition, comprising an Anglo-allied army under the command of the Duke of Wellington combined with a Prussian army under the command of Gebhard von Blücher.Upon Napoleon's return to power in March 1815, many states that had opposed him formed the Seventh Coalition and began to mobilize armies. Two large forces under Wellington and Blücher assembled close to the north-eastern border of France. Napoleon chose to attack in the hope of destroying them before they could join in a coordinated invasion of France with other members of the coalition. Waterloo was the decisive engagement of the Waterloo Campaign and Napoleon's last. According to Wellington, the battle was ""the nearest-run thing you ever saw in your life"".  The defeat at Waterloo ended Napoleon's rule as Emperor of the French, and marked the end of his Hundred Days return from exile.Two days before the battle, Blücher's Prussian army had been defeated by the French at Ligny. Wellington decided to offer battle upon learning that the Prussian army had regrouped and was able to march to his support. Wellington's army, positioned across the Brussels road on the Mont-Saint-Jean escarpment, withstood repeated attacks by the French in a defensive mode, until, in the evening, the Prussians arrived in force and broke through Napoleon's right flank. At that moment, Wellington's Anglo-allied army counter-attacked and drove the French army in disorder from the field. Pursuing coalition forces entered France and restored King Louis XVIII to the French throne. Napoleon abdicated, eventually surrendering to Captain Maitland of HMS Bellerophon, part of the British blockade, and was exiled to Saint Helena where he died in 1821.The battlefield is located in Belgium, about 15 kilometres (9.3 mi) south of Brussels, and about 2 kilometres (1.2 mi) from the town of Waterloo. The site of the battlefield today is dominated by a large monument, the Lion's Mound. As this mound was constructed from earth taken from the battlefield itself, the contemporary topography of the battlefield near the mound has not been preserved.",50.6833,4.4
"Battle of Wavre",1815-06-19,"The Battle of Wavre was the final major military action of the Hundred Days campaign and the Napoleonic Wars. It was fought on 18–19 June 1815 between the Prussian rearguard under the command of General Johann von Thielmann and three corps of the French army under the command of Marshal Grouchy. A blocking action, this battle kept 33,000 French soldiers from reaching the battle at Waterloo. This battle helped the Allied forces defeat the French army there.",50.7167,4.6
